Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C3, C4, C5, C8",0603,7,0.1uF,
"C10, C13",0603,2,1uF,
"C14, C15",0603,2,12pF,
"C6, C7",0603,2,10uF,
D1,D_SOD-323,1,D_Schottky_Small,C114023
J1,Castellated_1x10_P2.00mm_Vertical,1,Conn_South,
J2,Castellated_1x10_P2.00mm_Vertical,1,Conn_North,
J3,Castellated_1x10_P2.00mm_Vertical,1,Conn_East,
J4,Castellated_1x10_P2.00mm_Vertical,1,Conn_West,
R1,0603,1,1K,
"R2, R5",0603,2,10K,
"R3, R4",0603,2,27R,
R6,0603,1,100K,
SW1,SW_SPST_B3U-1000P,1,SW_RESET,
U1,QFN-56_EP_7x7_Pitch0.4mm,1,RP2040,
U2,SOT-23-3,1,XC6206P33, C5446
U3,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4mm,1,W25Q64JV,C2940197
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,XYDBPCNANF-12MHZ,C9002
